agent,t,sigma,wager,m_over_b
2,14,0.9129488487190606,0.9390641941033424,0.9390641941033424
2,15,0.913486029911431,0.9394402209380017,0.9394402209380017
2,16,0.9114931575793217,0.9380452103055252,0.9380452103055252
2,17,0.9013098059405276,0.9309168641583692,0.9309168641583692
2,18,0.9047368879455278,0.9333158215618693,0.9333158215618693
2,19,0.9044830161845975,0.9331381113292181,0.9331381113292181
2,20,0.9086877968915446,0.936081457824081,0.936081457824081
2,21,0.9097400283182512,0.9368180198227758,0.9368180198227758
2,22,0.911781803633609,0.9382472625435263,0.9382472625435263
2,23,0.9018280570103336,0.9312796399072334,0.9312796399072334
2,24,0.9013357862135702,0.9309350503494991,0.9309350503494991
2,25,0.9122958642697672,0.9386071049888369,0.9386071049888369
2,26,0.9003471982864564,0.9302430388005194,0.9302430388005194
2,27,0.895751936733008,0.9270263557131055,0.9270263557131055
2,28,0.9020413112079311,0.9314289178455517,0.9314289178455517
2,29,0.9034774592513537,0.9324342214759476,0.9324342214759476
2,30,0.9023480852460535,0.9316436596722373,0.9316436596722373
2,31,0.9060630850060972,0.9342441595042681,0.9342441595042681
2,32,0.9043846713713719,0.9330692699599603,0.9330692699599603
2,33,0.8859807014640759,0.9201864910248532,0.9201864910248532
2,34,0.8918953399833222,0.9243267379883255,0.9243267379883255
2,35,0.8961226693957537,0.9272858685770275,0.9272858685770275
2,36,0.9009105989895055,0.9306374192926539,0.9306374192926539
2,37,0.8947397172464596,0.9263178020725218,0.9263178020725218
2,38,0.8654527704097715,0.90581693928684,0.90581693928684
2,39,0.8738310293566576,0.9116817205496603,0.9116817205496603
2,40,0.8739214236440026,0.9117449965508018,0.9117449965508018
2,41,0.8788103849985386,0.915167269498977,0.915167269498977
2,42,0.8888042738063535,0.9221629916644474,0.9221629916644474
2,43,0.8878799507237488,0.9215159655066241,0.9215159655066241
2,44,0.8861323723539942,0.9202926606477959,0.9202926606477959
2,45,0.880215492937863,0.9161508450565041,0.9161508450565041
2,46,0.88694969367576,0.9208647855730321,0.9208647855730321
2,47,0.8917323319626729,0.9242126323738709,0.9242126323738709
2,48,0.8930593277078811,0.9251415293955167,0.9251415293955167
2,49,0.8957010593783574,0.9269907415648502,0.9269907415648502
2,50,0.8992545582175978,0.9294781907523184,0.9294781907523184
